Id,Nodes,Label
1,Badi H. Baltagi,Badi H. Baltagi
2,Yuhan Hao,Yuhan Hao
3,Stephanie Hao,Stephanie Hao
4,Erica Andersen-Nissen,Erica Andersen-Nissen
5,William M. Mauck,William M. Mauck
6,Shiwei Zheng,Shiwei Zheng
7,Andrew Butler,Andrew Butler
8,Madeline Lee,Madeline Lee
9,Aaron J. Wilk,Aaron J. Wilk
10,Charlotte A. Darby,Charlotte A. Darby
11,Michael Zager,Michael Zager
12,Paul Hoffman,Paul Hoffman
13,Marlon Stoeckius,Marlon Stoeckius
14,Efthymia Papalexi,Efthymia Papalexi
15,Eleni P. Mimitou,Eleni P. Mimitou
16,Jaison Jain,Jaison Jain
17,Avi Srivastava,Avi Srivastava
18,Tim Stuart,Tim Stuart
19,Lamar M. Fleming,Lamar M. Fleming
20,Bertrand Z. Yeung,Bertrand Z. Yeung
21,Angela J. Rogers,Angela J. Rogers
22,Juliana McElrath,Juliana McElrath
23,Catherine A. Blish,Catherine A. Blish
24,Raphael Gottardo,Raphael Gottardo
25,Peter Smibert,Peter Smibert
26,Rahul Satija,Rahul Satija
27,Tianzhi Wu,Tianzhi Wu
28,Erqiang Hu,Erqiang Hu
29,Shuaimei Xu,Shuaimei Xu
30,Meijun Chen,Meijun Chen
31,Pingfan Guo,Pingfan Guo
32,Zhigang Dai,Zhigang Dai
33,Tingze Feng,Tingze Feng
34,Lang Zhou,Lang Zhou
35,Wenli Tang,Wenli Tang
36,Li Zhan,Li Zhan
37,Xiaocong Fu,Xiaocong Fu
38,Shanshan Liu,Shanshan Liu
39,Xiaochen Bo,Xiaochen Bo
40,Guangchuang Yu,Guangchuang Yu
41,A. G. A. Brown,A. G. A. Brown
42,A. Vallenari,A. Vallenari
43,T. Prusti,T. Prusti
44,J. H. J. de Bruijne,J. H. J. de Bruijne
45,C. Babusiaux,C. Babusiaux
46,M. Biermann,M. Biermann
47,O. Creevey,O. Creevey
48,D. W. Evans,D. W. Evans
49,L. Eyer,L. Eyer
50,A. Hutton,A. Hutton
51,F. Jansen,F. Jansen
52,C. Jordi,C. Jordi
53,Sergei A. Klioner,Sergei A. Klioner
54,U. Lammers,U. Lammers
55,L. Lindegren,L. Lindegren
56,X. Luri,X. Luri
57,F. Mignard,F. Mignard
58,C. Panem,C. Panem
59,Dimitri Pourbaix,Dimitri Pourbaix
60,S. Randich,S. Randich
61,Paola Sartoretti,Paola Sartoretti
62,C. Soubiran,C. Soubiran
63,N. A. Walton,N. A. Walton
64,F. Arenou,F. Arenou
65,C. A. L. Bailer-Jones,C. A. L. Bailer-Jones
66,U. Bastian,U. Bastian
67,Mark Cropper,Mark Cropper
68,R. Drimmel,R. Drimmel
69,David Katz,David Katz
70,M. G. Lattanzi,M. G. Lattanzi
71,F. van Leeuwen,F. van Leeuwen
72,J. Bakker,J. Bakker
73,C. Cacciari,C. Cacciari
74,J. Castañeda,J. Castañeda
75,F. De Angeli,F. De Angeli
76,C. Ducourant,C. Ducourant
77,C. Fabricius,C. Fabricius
78,M. Fouesneau,M. Fouesneau
79,Y. Frémat,Y. Frémat
80,R. Guerra,R. Guerra
81,A. Guerrier,A. Guerrier
82,J. Guiraud,J. Guiraud
83,A. Jean-Antoine Piccolo,A. Jean-Antoine Piccolo
84,E. Masana,E. Masana
85,R. Messineo,R. Messineo
86,N. Mowlavi,N. Mowlavi
87,C. Nicolas,C. Nicolas
88,K. Nienartowicz,K. Nienartowicz
89,F. Pailler,F. Pailler
90,P. Panuzzo,P. Panuzzo
91,F. Riclet,F. Riclet
92,W. Roux,W. Roux
93,G. M. Seabroke,G. M. Seabroke
94,R. Sordo,R. Sordo
95,P. Tanga,P. Tanga
96,F. Thévenin,F. Thévenin
97,G. Gracia-Abril,G. Gracia-Abril
98,J. Portell,J. Portell
99,D. Teyssier,D. Teyssier
100,M. Altmann,M. Altmann
101,R. Andrae,R. Andrae
102,I. Bellas-Velidis,I. Bellas-Velidis
103,K. Benson,K. Benson
104,J. Berthier,J. Berthier
105,R. Blomme,R. Blomme
106,E. Brugaletta,E. Brugaletta
107,P. Burgess,P. Burgess
108,G. Busso,G. Busso
109,B. Carry,B. Carry
110,A. Cellino,A. Cellino
111,N. Cheek,N. Cheek
112,G. Clementini,G. Clementini
113,Y. Damerdji,Y. Damerdji
114,M. Davidson,M. Davidson
115,L. Delchambre,L. Delchambre
116,A. Dell'Oro,A. Dell'Oro
117,J. Fernández-Hernández,J. Fernández-Hernández
118,L. Galluccio,L. Galluccio
119,P. García-Lario,P. García-Lario
120,M. Garcia-Reinaldos,M. Garcia-Reinaldos
121,J. González-Núñez,J. González-Núñez
122,Eric Gosset,Eric Gosset
123,R. Haigron,R. Haigron
124,J. L. Halbwachs,J. L. Halbwachs
125,N. C. Hambly,N. C. Hambly
126,D. L. Harrison,D. L. Harrison
127,D. Hatzidimitriou,D. Hatzidimitriou
128,U. Heiter,U. Heiter
129,Jesús Hernández,Jesús Hernández
130,D. Hestroffer,D. Hestroffer
131,S. T. Hodgkin,S. T. Hodgkin
132,B. Holl,B. Holl
133,K. Janßen,K. Janßen
134,G. Jevardat de Fombelle,G. Jevardat de Fombelle
135,S. Jordan,S. Jordan
136,A. Krone-Martins,A. Krone-Martins
137,A. C. Lanzafame,A. C. Lanzafame
138,W. Löffler,W. Löffler
139,A. Lorca,A. Lorca
140,M. Manteiga,M. Manteiga
141,Michael Waskom,Michael Waskom
142,Haas Ej,Haas Ej
143,Frederick J. Angulo,Frederick J. Angulo
144,John M. McLaughlin,John M. McLaughlin
145,Emilia Anis,Emilia Anis
146,Shepherd Roee Singer,Shepherd Roee Singer
147,Farid Khan,Farid Khan
148,Nati Brooks,Nati Brooks
149,Meir Smaja,Meir Smaja
150,Gabriel Mircus,Gabriel Mircus
151,Kaijie Pan,Kaijie Pan
152,Jo Southern,Jo Southern
153,David L. Swerdlow,David L. Swerdlow
154,Luis Jodar,Luis Jodar
155,Yaron Y. Levy,Yaron Y. Levy
156,Sharon Alroy-Preis,Sharon Alroy-Preis
157,Laith Alzubaidi,Laith Alzubaidi
158,Jinglan Zhang,Jinglan Zhang
159,Amjad J. Humaidi,Amjad J. Humaidi
160,Ayad Q. Al-Dujaili,Ayad Q. Al-Dujaili
161,Ye Duan,Ye Duan
162,Omran Al-Shamma,Omran Al-Shamma
163,José Santamaría,José Santamaría
164,Mohammed A. Fadhel,Mohammed A. Fadhel
165,Muthana Al-Amidie,Muthana Al-Amidie
166,Laith Farhan,Laith Farhan
167,Jingdong Wang,Jingdong Wang
168,Ke Sun,Ke Sun
169,"Cheng, Tianheng","Cheng, Tianheng"
170,Borui Jiang,Borui Jiang
171,Chaorui Deng,Chaorui Deng
172,Yang Zhao,Yang Zhao
173,Dong Liu,Dong Liu
174,Yadong Mu,Yadong Mu
175,Mingkui Tan,Mingkui Tan
176,Xinggang Wang,Xinggang Wang
177,Wenyu Liu,Wenyu Liu
178,Bin Xiao,Bin Xiao
179,Shervin Minaee,Shervin Minaee
180,Yuri Boykov,Yuri Boykov
181,Fatih Porikli,Fatih Porikli
182,Antonio Plaza,Antonio Plaza
183,Nasser Kehtarnavaz,Nasser Kehtarnavaz
184,Demetri Terzopoulos,Demetri Terzopoulos
185,Feng Shi,Feng Shi
186,Jun Wang,Jun Wang
187,Jun Shi,Jun Shi
188,Ziyan Wu,Ziyan Wu
189,Qian Wang,Qian Wang
190,Zhenyu Tang,Zhenyu Tang
191,Kelei He,Kelei He
