Source,Target,Type,Weight
1,14218,directed,1
2,14219,directed,1
3,14219,directed,1
4,14219,directed,1
5,14219,directed,1
6,14219,directed,1
7,14219,directed,1
8,14219,directed,1
9,14219,directed,1
10,14219,directed,1
11,14219,directed,1
12,14219,directed,1
13,14219,directed,1
14,14219,directed,1
15,14219,directed,1
16,14219,directed,1
17,14219,directed,1
18,14219,directed,1
19,14219,directed,1
20,14219,directed,1
21,14219,directed,1
22,14219,directed,1
23,14219,directed,1
24,14219,directed,1
25,14219,directed,1
26,14219,directed,1
27,14220,directed,1
28,14220,directed,1
29,14220,directed,1
30,14220,directed,1
31,14220,directed,1
32,14220,directed,1
33,14220,directed,1
34,14220,directed,1
35,14220,directed,1
36,14220,directed,1
37,14220,directed,1
38,14220,directed,1
39,14220,directed,1
40,14220,directed,1
41,14221,directed,1
42,14221,directed,1
43,14221,directed,1
44,14221,directed,1
45,14221,directed,1
46,14221,directed,1
47,14221,directed,1
48,14221,directed,1
49,14221,directed,1
50,14221,directed,1
51,14221,directed,1
52,14221,directed,1
53,14221,directed,1
54,14221,directed,1
55,14221,directed,1
56,14221,directed,1
57,14221,directed,1
58,14221,directed,1
59,14221,directed,1
60,14221,directed,1
61,14221,directed,1
62,14221,directed,1
63,14221,directed,1
64,14221,directed,1
65,14221,directed,1
66,14221,directed,1
67,14221,directed,1
68,14221,directed,1
69,14221,directed,1
70,14221,directed,1
71,14221,directed,1
72,14221,directed,1
73,14221,directed,1
74,14221,directed,1
75,14221,directed,1
76,14221,directed,1
77,14221,directed,1
78,14221,directed,1
79,14221,directed,1
80,14221,directed,1
81,14221,directed,1
82,14221,directed,1
83,14221,directed,1
84,14221,directed,1
85,14221,directed,1
86,14221,directed,1
87,14221,directed,1
88,14221,directed,1
89,14221,directed,1
90,14221,directed,1
91,14221,directed,1
92,14221,directed,1
93,14221,directed,1
94,14221,directed,1
95,14221,directed,1
96,14221,directed,1
97,14221,directed,1
98,14221,directed,1
99,14221,directed,1
100,14221,directed,1
101,14221,directed,1
102,14221,directed,1
103,14221,directed,1
104,14221,directed,1
105,14221,directed,1
106,14221,directed,1
107,14221,directed,1
108,14221,directed,1
109,14221,directed,1
110,14221,directed,1
111,14221,directed,1
112,14221,directed,1
113,14221,directed,1
114,14221,directed,1
115,14221,directed,1
116,14221,directed,1
117,14221,directed,1
118,14221,directed,1
119,14221,directed,1
120,14221,directed,1
121,14221,directed,1
122,14221,directed,1
123,14221,directed,1
124,14221,directed,1
125,14221,directed,1
126,14221,directed,1
127,14221,directed,1
128,14221,directed,1
129,14221,directed,1
130,14221,directed,1
131,14221,directed,1
132,14221,directed,1
133,14221,directed,1
134,14221,directed,1
135,14221,directed,1
136,14221,directed,1
137,14221,directed,1
138,14221,directed,1
139,14221,directed,1
140,14221,directed,1
141,14222,directed,1
142,14223,directed,1
143,14223,directed,1
144,14223,directed,1
145,14223,directed,1
146,14223,directed,1
147,14223,directed,1
148,14223,directed,1
149,14223,directed,1
150,14223,directed,1
151,14223,directed,1
152,14223,directed,1
153,14223,directed,1
154,14223,directed,1
155,14223,directed,1
156,14223,directed,1
157,14224,directed,1
158,14224,directed,1
159,14224,directed,1
160,14224,directed,1
161,14224,directed,1
162,14224,directed,1
163,14224,directed,1
164,14224,directed,1
165,14224,directed,1
166,14224,directed,1
167,14225,directed,1
168,14225,directed,1
169,14225,directed,1
170,14225,directed,1
171,14225,directed,1
172,14225,directed,1
173,14225,directed,1
174,14225,directed,1
175,14225,directed,1
176,14225,directed,1
177,14225,directed,1
178,14225,directed,1
179,14226,directed,1
180,14226,directed,1
181,14226,directed,1
182,14226,directed,1
183,14226,directed,1
184,14226,directed,1
185,14227,directed,1
186,14227,directed,1
187,14227,directed,1
188,14227,directed,1
189,14227,directed,1
190,14227,directed,1
191,14227,directed,1
192,14227,directed,1
193,14227,directed,1
194,14228,directed,1
195,14228,directed,1
196,14229,directed,1
197,14229,directed,1
198,14229,directed,1
199,14229,directed,1
200,14229,directed,1
201,14229,directed,1
202,14229,directed,1
203,14229,directed,1
204,14229,directed,1
205,14229,directed,1
206,14229,directed,1
207,14229,directed,1
208,14229,directed,1
209,14229,directed,1
210,14229,directed,1
211,14229,directed,1
212,14229,directed,1
213,14229,directed,1
214,14229,directed,1
215,14229,directed,1
216,14229,directed,1
217,14229,directed,1
218,14229,directed,1
219,14229,directed,1
220,14229,directed,1
221,14229,directed,1
222,14229,directed,1
223,14229,directed,1
65,14230,directed,1
224,14230,directed,1
78,14230,directed,1
225,14230,directed,1
101,14230,directed,1
226,14231,directed,1
227,14231,directed,1
228,14231,directed,1
229,14232,directed,1
230,14232,directed,1
231,14233,directed,1
232,14233,directed,1
233,14233,directed,1
234,14233,directed,1
235,14233,directed,1
236,14233,directed,1
237,14234,directed,1
238,14234,directed,1
239,14234,directed,1
240,14234,directed,1
241,14235,directed,1
242,14235,directed,1
243,14235,directed,1
244,14236,directed,1
245,14236,directed,1
246,14236,directed,1
247,14236,directed,1
248,14236,directed,1
249,14236,directed,1
250,14236,directed,1
251,14236,directed,1
252,14236,directed,1
253,14236,directed,1
254,14236,directed,1
255,14237,directed,1
256,14237,directed,1
257,14237,directed,1
258,14238,directed,1
259,14238,directed,1
260,14238,directed,1
261,14239,directed,1
262,14239,directed,1
263,14239,directed,1
264,14239,directed,1
265,14239,directed,1
266,14239,directed,1
267,14239,directed,1
268,14240,directed,1
269,14240,directed,1
270,14240,directed,1
271,14240,directed,1
235,14240,directed,1
272,14240,directed,1
273,14240,directed,1
274,14240,directed,1
275,14240,directed,1
276,14240,directed,1
277,14240,directed,1
278,14240,directed,1
55,14221,directed,1
279,14221,directed,1
129,14221,directed,1
280,14221,directed,1
281,14221,directed,1
282,14221,directed,1
66,14221,directed,1
46,14221,directed,1
283,14221,directed,1
284,14221,directed,1
285,14221,directed,1
286,14221,directed,1
287,14221,directed,1
54,14221,directed,1
288,14221,directed,1
289,14221,directed,1
74,14221,directed,1
114,14221,directed,1
77,14221,directed,1
97,14221,directed,1
98,14221,directed,1
290,14221,directed,1
99,14221,directed,1
291,14221,directed,1
292,14221,directed,1
293,14221,directed,1
294,14221,directed,1
295,14221,directed,1
296,14221,directed,1
297,14221,directed,1
100,14221,directed,1
298,14221,directed,1
299,14221,directed,1
300,14221,directed,1
301,14221,directed,1
302,14221,directed,1
303,14221,directed,1
304,14221,directed,1
305,14221,directed,1
306,14221,directed,1
41,14221,directed,1
307,14221,directed,1
308,14221,directed,1
309,14221,directed,1
310,14221,directed,1
311,14221,directed,1
312,14221,directed,1
313,14221,directed,1
314,14221,directed,1
315,14221,directed,1
316,14221,directed,1
317,14221,directed,1
318,14221,directed,1
68,14221,directed,1
319,14221,directed,1
320,14221,directed,1
321,14221,directed,1
322,14221,directed,1
120,14221,directed,1
80,14221,directed,1
125,14221,directed,1
323,14221,directed,1
133,14221,directed,1
135,14221,directed,1
324,14221,directed,1
70,14221,directed,1
325,14221,directed,1
326,14221,directed,1
327,14221,directed,1
138,14221,directed,1
328,14221,directed,1
329,14221,directed,1
57,14221,directed,1
330,14221,directed,1
331,14221,directed,1
332,14221,directed,1
333,14221,directed,1
334,14221,directed,1
335,14221,directed,1
90,14221,directed,1
336,14221,directed,1
337,14221,directed,1
338,14221,directed,1
339,14221,directed,1
340,14221,directed,1
341,14221,directed,1
342,14221,directed,1
343,14221,directed,1
344,14221,directed,1
345,14221,directed,1
346,14221,directed,1
347,14221,directed,1
348,14221,directed,1
349,14221,directed,1
350,14221,directed,1
351,14221,directed,1
352,14221,directed,1
353,14241,directed,1
354,14241,directed,1
355,14241,directed,1
356,14241,directed,1
357,14242,directed,1
358,14242,directed,1
359,14242,directed,1
360,14242,directed,1
361,14242,directed,1
362,14243,directed,1
363,14243,directed,1
364,14243,directed,1
365,14244,directed,1
366,14244,directed,1
367,14244,directed,1
179,14245,directed,1
368,14245,directed,1
369,14245,directed,1
370,14245,directed,1
371,14245,directed,1
372,14245,directed,1
373,14246,directed,1
374,14246,directed,1
375,14246,directed,1
376,14246,directed,1
377,14246,directed,1
378,14246,directed,1
379,14246,directed,1
380,14246,directed,1
381,14246,directed,1
382,14246,directed,1
383,14246,directed,1
384,14246,directed,1
385,14246,directed,1
386,14247,directed,1
387,14247,directed,1
388,14247,directed,1
389,14247,directed,1
390,14248,directed,1
391,14248,directed,1
392,14248,directed,1
393,14248,directed,1
394,14248,directed,1
395,14248,directed,1
396,14248,directed,1
397,14248,directed,1
398,14248,directed,1
399,14248,directed,1
400,14248,directed,1
401,14248,directed,1
402,14248,directed,1
403,14248,directed,1
404,14248,directed,1
405,14249,directed,1
406,14249,directed,1
407,14249,directed,1
408,14249,directed,1
409,14249,directed,1
410,14249,directed,1
411,14249,directed,1
412,14249,directed,1
413,14249,directed,1
414,14249,directed,1
415,14249,directed,1
416,14249,directed,1
417,14249,directed,1
418,14249,directed,1
419,14249,directed,1
420,14249,directed,1
421,14249,directed,1
422,14249,directed,1
423,14249,directed,1
424,14249,directed,1
425,14249,directed,1
426,14249,directed,1
427,14249,directed,1
428,14249,directed,1
429,14249,directed,1
430,14249,directed,1
431,14249,directed,1
432,14249,directed,1
433,14249,directed,1
434,14249,directed,1
435,14249,directed,1
436,14249,directed,1
437,14249,directed,1
438,14249,directed,1
439,14249,directed,1
440,14249,directed,1
441,14249,directed,1
442,14249,directed,1
443,14249,directed,1
444,14249,directed,1
445,14249,directed,1
446,14249,directed,1
447,14249,directed,1
448,14249,directed,1
449,14249,directed,1
450,14249,directed,1
451,14249,directed,1
452,14249,directed,1
453,14249,directed,1
454,14249,directed,1
455,14249,directed,1
456,14249,directed,1
457,14249,directed,1
458,14249,directed,1
459,14249,directed,1
460,14249,directed,1
461,14249,directed,1
462,14249,directed,1
463,14249,directed,1
464,14249,directed,1
465,14249,directed,1
466,14249,directed,1
467,14249,directed,1
468,14249,directed,1
469,14249,directed,1
470,14249,directed,1
471,14249,directed,1
472,14249,directed,1
473,14250,directed,1
474,14250,directed,1
475,14250,directed,1
476,14250,directed,1
477,14250,directed,1
243,14250,directed,1
478,14251,directed,1
479,14251,directed,1
480,14252,directed,1
481,14252,directed,1
482,14252,directed,1
483,14252,directed,1
484,14252,directed,1
485,14252,directed,1
486,14253,directed,1
487,14253,directed,1
488,14253,directed,1
489,14253,directed,1
490,14253,directed,1
491,14253,directed,1
492,14253,directed,1
493,14253,directed,1
494,14253,directed,1
495,14253,directed,1
496,14253,directed,1
497,14253,directed,1
498,14253,directed,1
499,14253,directed,1
500,14253,directed,1
501,14253,directed,1
502,14253,directed,1
503,14253,directed,1
504,14253,directed,1
505,14253,directed,1
506,14253,directed,1
507,14253,directed,1
508,14253,directed,1
509,14253,directed,1
510,14253,directed,1
511,14253,directed,1
512,14253,directed,1
513,14253,directed,1
55,14221,directed,1
66,14221,directed,1
46,14221,directed,1
280,14221,directed,1
283,14221,directed,1
284,14221,directed,1
285,14221,directed,1
129,14221,directed,1
286,14221,directed,1
287,14221,directed,1
53,14221,directed,1
54,14221,directed,1
288,14221,directed,1
281,14221,directed,1
282,14221,directed,1
289,14221,directed,1
71,14221,directed,1
514,14254,directed,1
515,14254,directed,1
516,14254,directed,1
517,14254,directed,1
518,14255,directed,1
519,14255,directed,1
520,14255,directed,1
521,14255,directed,1
522,14255,directed,1
523,14255,directed,1
524,14255,directed,1
525,14255,directed,1
526,14255,directed,1
527,14255,directed,1
528,14255,directed,1
529,14255,directed,1
530,14255,directed,1
531,14255,directed,1
532,14255,directed,1
533,14255,directed,1
534,14255,directed,1
535,14255,directed,1
536,14255,directed,1
537,14255,directed,1
538,14255,directed,1
539,14255,directed,1
540,14255,directed,1
541,14255,directed,1
542,14255,directed,1
543,14255,directed,1
544,14255,directed,1
545,14255,directed,1
546,14255,directed,1
547,14255,directed,1
548,14255,directed,1
549,14255,directed,1
550,14255,directed,1
551,14255,directed,1
552,14255,directed,1
553,14256,directed,1
554,14256,directed,1
555,14256,directed,1
556,14256,directed,1
557,14256,directed,1
558,14256,directed,1
559,14256,directed,1
560,14256,directed,1
561,14256,directed,1
562,14256,directed,1
563,14256,directed,1
564,14256,directed,1
565,14256,directed,1
566,14256,directed,1
567,14256,directed,1
568,14256,directed,1
569,14256,directed,1
570,14256,directed,1
571,14256,directed,1
572,14256,directed,1
573,14256,directed,1
574,14256,directed,1
575,14256,directed,1
576,14256,directed,1
577,14256,directed,1
578,14256,directed,1
579,14256,directed,1
580,14256,directed,1
581,14256,directed,1
582,14256,directed,1
583,14256,directed,1
584,14256,directed,1
585,14256,directed,1
586,14256,directed,1
587,14256,directed,1
588,14256,directed,1
589,14256,directed,1
590,14256,directed,1
591,14256,directed,1
592,14256,directed,1
593,14256,directed,1
594,14256,directed,1
595,14256,directed,1
596,14256,directed,1
597,14256,directed,1
598,14256,directed,1
599,14256,directed,1
600,14256,directed,1
601,14256,directed,1
602,14256,directed,1
603,14256,directed,1
604,14256,directed,1
605,14256,directed,1
606,14256,directed,1
607,14256,directed,1
608,14256,directed,1
609,14256,directed,1
610,14256,directed,1
611,14256,directed,1
612,14256,directed,1
613,14256,directed,1
614,14256,directed,1
615,14256,directed,1
616,14256,directed,1
617,14256,directed,1
618,14256,directed,1
619,14256,directed,1
620,14256,directed,1
621,14256,directed,1
622,14257,directed,1
623,14257,directed,1
624,14257,directed,1
625,14258,directed,1
626,14258,directed,1
627,14258,directed,1
628,14258,directed,1
629,14258,directed,1
630,14258,directed,1
631,14258,directed,1
632,14258,directed,1
633,14258,directed,1
634,14258,directed,1
635,14258,directed,1
636,14258,directed,1
637,14258,directed,1
638,14259,directed,1
639,14259,directed,1
640,14259,directed,1
641,14260,directed,1
642,14260,directed,1
643,14260,directed,1
644,14260,directed,1
645,14260,directed,1
646,14260,directed,1
647,14261,directed,1
648,14262,directed,1
649,14262,directed,1
650,14262,directed,1
651,14262,directed,1
652,14262,directed,1
653,14262,directed,1
654,14263,directed,1
655,14263,directed,1
656,14263,directed,1
657,14263,directed,1
658,14263,directed,1
659,14263,directed,1
660,14263,directed,1
661,14263,directed,1
662,14263,directed,1
663,14263,directed,1
664,14263,directed,1
665,14263,directed,1
666,14264,directed,1
667,14264,directed,1
668,14264,directed,1
669,14264,directed,1
670,14264,directed,1
671,14264,directed,1
672,14264,directed,1
673,14264,directed,1
674,14264,directed,1
675,14264,directed,1
676,14264,directed,1
677,14264,directed,1
678,14264,directed,1
679,14221,directed,1
75,14221,directed,1
48,14221,directed,1
680,14221,directed,1
681,14221,directed,1
108,14221,directed,1
682,14221,directed,1
107,14221,directed,1
683,14221,directed,1
114,14221,directed,1
290,14221,directed,1
77,14221,directed,1
52,14221,directed,1
684,14221,directed,1
685,14221,directed,1
126,14221,directed,1
73,14221,directed,1
71,14221,directed,1
125,14221,directed,1
131,14221,directed,1
686,14221,directed,1
687,14221,directed,1
688,14221,directed,1
41,14221,directed,1
689,14221,directed,1
690,14221,directed,1
691,14221,directed,1
692,14221,directed,1
693,14221,directed,1
694,14221,directed,1
695,14221,directed,1
696,14221,directed,1
335,14221,directed,1
697,14221,directed,1
698,14221,directed,1
699,14221,directed,1
700,14221,directed,1
701,14221,directed,1
702,14221,directed,1
63,14221,directed,1
703,14221,directed,1
704,14221,directed,1
705,14265,directed,1
706,14265,directed,1
707,14265,directed,1
708,14265,directed,1
709,14265,directed,1
710,14265,directed,1
711,14265,directed,1
712,14265,directed,1
713,14265,directed,1
714,14265,directed,1
715,14265,directed,1
716,14265,directed,1
717,14265,directed,1
718,14265,directed,1
719,14265,directed,1
720,14266,directed,1
721,14266,directed,1
722,14266,directed,1
723,14266,directed,1
724,14266,directed,1
725,14266,directed,1
726,14266,directed,1
727,14266,directed,1
728,14266,directed,1
729,14266,directed,1
730,14266,directed,1
731,14266,directed,1
732,14266,directed,1
733,14266,directed,1
734,14266,directed,1
735,14266,directed,1
736,14266,directed,1
737,14266,directed,1
738,14266,directed,1
739,14267,directed,1
740,14267,directed,1
741,14268,directed,1
742,14268,directed,1
743,14268,directed,1
744,14268,directed,1
745,14268,directed,1
746,14268,directed,1
747,14268,directed,1
748,14269,directed,1
749,14269,directed,1
750,14269,directed,1
751,14269,directed,1
752,14269,directed,1
753,14269,directed,1
754,14269,directed,1
755,14269,directed,1
756,14269,directed,1
757,14269,directed,1
758,14269,directed,1
759,14269,directed,1
760,14269,directed,1
761,14269,directed,1
762,14269,directed,1
763,14269,directed,1
764,14269,directed,1
765,14269,directed,1
766,14269,directed,1
767,14269,directed,1
768,14269,directed,1
769,14269,directed,1
770,14269,directed,1
771,14269,directed,1
772,14269,directed,1
773,14269,directed,1
774,14269,directed,1
775,14269,directed,1
776,14269,directed,1
777,14269,directed,1
778,14269,directed,1
779,14269,directed,1
780,14269,directed,1
781,14269,directed,1
782,14269,directed,1
783,14269,directed,1
784,14269,directed,1
785,14269,directed,1
786,14269,directed,1
787,14269,directed,1
788,14269,directed,1
789,14269,directed,1
790,14269,directed,1
791,14269,directed,1
792,14269,directed,1
793,14269,directed,1
794,14269,directed,1
795,14269,directed,1
796,14269,directed,1
797,14269,directed,1
798,14269,directed,1
799,14269,directed,1
800,14269,directed,1
801,14269,directed,1
802,14269,directed,1
803,14269,directed,1
804,14269,directed,1
805,14269,directed,1
806,14269,directed,1
807,14269,directed,1
808,14269,directed,1
809,14269,directed,1
810,14269,directed,1
811,14269,directed,1
812,14269,directed,1
813,14269,directed,1
814,14269,directed,1
815,14269,directed,1
816,14269,directed,1
817,14269,directed,1
818,14269,directed,1
819,14269,directed,1
820,14269,directed,1
821,14269,directed,1
822,14269,directed,1
823,14269,directed,1
824,14269,directed,1
825,14269,directed,1
826,14269,directed,1
827,14269,directed,1
828,14269,directed,1
829,14269,directed,1
830,14269,directed,1
831,14269,directed,1
832,14269,directed,1
833,14269,directed,1
834,14269,directed,1
835,14269,directed,1
836,14269,directed,1
837,14269,directed,1
838,14269,directed,1
839,14269,directed,1
840,14269,directed,1
841,14269,directed,1
842,14269,directed,1
843,14269,directed,1
844,14269,directed,1
845,14269,directed,1
846,14269,directed,1
847,14270,directed,1
848,14270,directed,1
849,14270,directed,1
850,14271,directed,1
851,14271,directed,1
852,14271,directed,1
853,14271,directed,1
854,14271,directed,1
855,14271,directed,1
856,14271,directed,1
857,14271,directed,1
858,14271,directed,1
859,14271,directed,1
860,14272,directed,1
861,14272,directed,1
862,14272,directed,1
863,14273,directed,1
864,14273,directed,1
865,14273,directed,1
866,14274,directed,1
867,14274,directed,1
868,14274,directed,1
869,14274,directed,1
870,14274,directed,1
871,14274,directed,1
872,14274,directed,1
873,14274,directed,1
874,14274,directed,1
875,14274,directed,1
876,14274,directed,1
877,14274,directed,1
878,14274,directed,1
879,14274,directed,1
880,14275,directed,1
881,14275,directed,1
882,14275,directed,1
883,14275,directed,1
884,14275,directed,1
885,14275,directed,1
886,14275,directed,1
887,14275,directed,1
888,14275,directed,1
889,14275,directed,1
890,14275,directed,1
891,14275,directed,1
892,14275,directed,1
893,14275,directed,1
894,14275,directed,1
895,14275,directed,1
896,14275,directed,1
897,14275,directed,1
898,14275,directed,1
899,14275,directed,1
900,14275,directed,1
901,14276,directed,1
902,14276,directed,1
903,14276,directed,1
904,14276,directed,1
905,14276,directed,1
906,14276,directed,1
907,14276,directed,1
908,14276,directed,1
909,14277,directed,1
NA,14278,directed,1
911,14278,directed,1
912,14278,directed,1
913,14278,directed,1
914,14278,directed,1
915,14278,directed,1
916,14278,directed,1
917,14279,directed,1
918,14279,directed,1
919,14279,directed,1
920,14279,directed,1
921,14279,directed,1
922,14280,directed,1
923,14280,directed,1
924,14280,directed,1
925,14280,directed,1
926,14281,directed,1
927,14281,directed,1
928,14281,directed,1
929,14281,directed,1
930,14281,directed,1
931,14281,directed,1
932,14281,directed,1
933,14281,directed,1
934,14281,directed,1
935,14281,directed,1
936,14281,directed,1
937,14281,directed,1
938,14281,directed,1
939,14281,directed,1
940,14281,directed,1
941,14281,directed,1
942,14281,directed,1
943,14281,directed,1
944,14281,directed,1
945,14281,directed,1
946,14281,directed,1
947,14281,directed,1
948,14281,directed,1
949,14281,directed,1
950,14282,directed,1
951,14282,directed,1
952,14283,directed,1
953,14283,directed,1
954,14284,directed,1
955,14284,directed,1
956,14284,directed,1
957,14284,directed,1
958,14284,directed,1
959,14284,directed,1
960,14285,directed,1
961,14285,directed,1
962,14285,directed,1
963,14285,directed,1
964,14285,directed,1
965,14285,directed,1
966,14285,directed,1
967,14285,directed,1
968,14285,directed,1
969,14285,directed,1
970,14285,directed,1
971,14285,directed,1
972,14285,directed,1
973,14286,directed,1
974,14286,directed,1
975,14286,directed,1
976,14286,directed,1
977,14287,directed,1
978,14287,directed,1
979,14287,directed,1
980,14287,directed,1
981,14287,directed,1
982,14287,directed,1
983,14287,directed,1
984,14287,directed,1
985,14287,directed,1
986,14287,directed,1
987,14287,directed,1
988,14287,directed,1
989,14287,directed,1
990,14287,directed,1
