Source,Target,Type,Weight,Relationship
1,2,directed,1,[m:MENTIONS]
1,2,directed,1,[r:RETWEETS]
3,4,directed,1,[m:MENTIONS]
3,4,directed,1,[r:RETWEETS]
5,6,directed,1,[q:QUOTES]
7,8,directed,1,[m:MENTIONS]
7,9,directed,1,[m:MENTIONS]
7,8,directed,1,[r:RETWEETS]
8,9,directed,1,[m:MENTIONS]
10,4,directed,1,[m:MENTIONS]
10,4,directed,1,[q:QUOTES]
10,4,directed,1,[r:RETWEETS]
11,12,directed,1,[m:MENTIONS]
11,12,directed,1,[r:RETWEETS]
13,14,directed,1,[m:MENTIONS]
13,14,directed,1,[r:RETWEETS]
15,16,directed,1,[m:MENTIONS]
17,18,directed,1,[m:MENTIONS]
17,18,directed,1,[r:RETWEETS]
19,20,directed,1,[m:MENTIONS]
19,20,directed,1,[r:RETWEETS]
21,22,directed,1,[m:MENTIONS]
21,22,directed,1,[r:RETWEETS]
23,24,directed,1,[m:MENTIONS]
23,6,directed,1,[m:MENTIONS]
25,22,directed,1,[m:MENTIONS]
25,22,directed,1,[r:RETWEETS]
26,20,directed,1,[m:MENTIONS]
26,20,directed,1,[r:RETWEETS]
27,20,directed,1,[m:MENTIONS]
27,20,directed,1,[r:RETWEETS]
28,29,directed,1,[m:MENTIONS]
28,29,directed,1,[r:RETWEETS]
30,31,directed,1,[m:MENTIONS]
30,6,directed,1,[m:MENTIONS]
30,31,directed,1,[r:RETWEETS]
31,6,directed,1,[m:MENTIONS]
31,32,directed,1,[m:MENTIONS]
15,33,directed,1,[m:MENTIONS]
15,6,directed,1,[m:MENTIONS]
34,35,directed,1,[m:MENTIONS]
34,35,directed,1,[r:RETWEETS]
36,37,directed,1,[m:MENTIONS]
36,9,directed,1,[m:MENTIONS]
38,20,directed,1,[m:MENTIONS]
38,20,directed,1,[r:RETWEETS]
39,40,directed,1,[m:MENTIONS]
39,41,directed,1,[m:MENTIONS]
39,42,directed,1,[m:MENTIONS]
39,40,directed,1,[r:RETWEETS]
40,41,directed,1,[m:MENTIONS]
40,42,directed,1,[m:MENTIONS]
43,14,directed,1,[m:MENTIONS]
43,14,directed,1,[r:RETWEETS]
44,4,directed,1,[m:MENTIONS]
44,4,directed,1,[q:QUOTES]
44,4,directed,1,[r:RETWEETS]
45,12,directed,1,[m:MENTIONS]
13,46,directed,1,[m:MENTIONS]
13,46,directed,1,[r:RETWEETS]
47,48,directed,1,[m:MENTIONS]
47,49,directed,1,[m:MENTIONS]
47,48,directed,1,[r:RETWEETS]
48,49,directed,1,[m:MENTIONS]
51,12,directed,1,[m:MENTIONS]
51,12,directed,1,[r:RETWEETS]
15,35,directed,1,[m:MENTIONS]
52,6,directed,1,[m:MENTIONS]
52,6,directed,1,[r:RETWEETS]
53,6,directed,1,[m:MENTIONS]
43,54,directed,1,[m:MENTIONS]
43,54,directed,1,[r:RETWEETS]
15,55,directed,1,[m:MENTIONS]
56,57,directed,1,[m:MENTIONS]
56,57,directed,1,[r:RETWEETS]
58,8,directed,1,[m:MENTIONS]
58,59,directed,1,[m:MENTIONS]
58,8,directed,1,[r:RETWEETS]
8,59,directed,1,[m:MENTIONS]
43,60,directed,1,[m:MENTIONS]
43,60,directed,1,[r:RETWEETS]
61,62,directed,1,[m:MENTIONS]
61,63,directed,1,[m:MENTIONS]
61,6,directed,1,[m:MENTIONS]
61,62,directed,1,[r:RETWEETS]
62,63,directed,1,[m:MENTIONS]
62,6,directed,1,[m:MENTIONS]
64,8,directed,1,[m:MENTIONS]
64,65,directed,1,[m:MENTIONS]
64,8,directed,1,[r:RETWEETS]
8,65,directed,1,[m:MENTIONS]
66,6,directed,1,[m:MENTIONS]
66,6,directed,1,[r:RETWEETS]
56,12,directed,1,[m:MENTIONS]
56,12,directed,1,[r:RETWEETS]
15,67,directed,1,[m:MENTIONS]
15,12,directed,1,[m:MENTIONS]
68,8,directed,1,[m:MENTIONS]
68,9,directed,1,[m:MENTIONS]
68,8,directed,1,[r:RETWEETS]
56,69,directed,1,[m:MENTIONS]
56,70,directed,1,[m:MENTIONS]
56,71,directed,1,[m:MENTIONS]
56,12,directed,1,[q:QUOTES]
12,72,directed,1,[m:MENTIONS]
56,69,directed,1,[r:RETWEETS]
69,70,directed,1,[m:MENTIONS]
69,71,directed,1,[m:MENTIONS]
69,12,directed,1,[q:QUOTES]
43,73,directed,1,[m:MENTIONS]
43,73,directed,1,[r:RETWEETS]
74,75,directed,1,[m:MENTIONS]
74,75,directed,1,[r:RETWEETS]
76,6,directed,1,[m:MENTIONS]
56,77,directed,1,[m:MENTIONS]
56,77,directed,1,[r:RETWEETS]
78,79,directed,1,[m:MENTIONS]
78,31,directed,1,[m:MENTIONS]
78,6,directed,1,[m:MENTIONS]
78,32,directed,1,[m:MENTIONS]
80,81,directed,1,[m:MENTIONS]
80,6,directed,1,[m:MENTIONS]
82,83,directed,1,[m:MENTIONS]
82,83,directed,1,[r:RETWEETS]
56,84,directed,1,[m:MENTIONS]
56,85,directed,1,[q:QUOTES]
56,84,directed,1,[r:RETWEETS]
84,85,directed,1,[q:QUOTES]
86,31,directed,1,[m:MENTIONS]
86,31,directed,1,[r:RETWEETS]
31,50,directed,1,[m:MENTIONS]
87,83,directed,1,[m:MENTIONS]
87,83,directed,1,[r:RETWEETS]
88,18,directed,1,[m:MENTIONS]
88,18,directed,1,[r:RETWEETS]
15,89,directed,1,[m:MENTIONS]
90,91,directed,1,[m:MENTIONS]
90,91,directed,1,[r:RETWEETS]
91,32,directed,1,[m:MENTIONS]
92,4,directed,1,[m:MENTIONS]
92,4,directed,1,[q:QUOTES]
92,4,directed,1,[r:RETWEETS]
15,93,directed,1,[m:MENTIONS]
94,22,directed,1,[m:MENTIONS]
94,22,directed,1,[r:RETWEETS]
95,96,directed,1,[m:MENTIONS]
95,96,directed,1,[r:RETWEETS]
97,98,directed,1,[m:MENTIONS]
97,99,directed,1,[m:MENTIONS]
97,98,directed,1,[r:RETWEETS]
98,99,directed,1,[m:MENTIONS]
98,100,directed,1,[m:MENTIONS]
102,103,directed,1,[m:MENTIONS]
102,104,directed,1,[m:MENTIONS]
102,105,directed,1,[m:MENTIONS]
102,103,directed,1,[r:RETWEETS]
103,104,directed,1,[m:MENTIONS]
103,105,directed,1,[m:MENTIONS]
106,6,directed,1,[m:MENTIONS]
106,107,directed,1,[m:MENTIONS]
106,6,directed,1,[r:RETWEETS]
6,107,directed,1,[m:MENTIONS]
51,108,directed,1,[m:MENTIONS]
51,108,directed,1,[r:RETWEETS]
109,110,directed,1,[m:MENTIONS]
111,18,directed,1,[m:MENTIONS]
111,18,directed,1,[r:RETWEETS]
112,6,directed,1,[m:MENTIONS]
113,114,directed,1,[q:QUOTES]
43,115,directed,1,[m:MENTIONS]
43,115,directed,1,[r:RETWEETS]
15,80,directed,1,[m:MENTIONS]
15,81,directed,1,[m:MENTIONS]
82,41,directed,1,[m:MENTIONS]
82,40,directed,1,[m:MENTIONS]
82,41,directed,1,[r:RETWEETS]
41,40,directed,1,[m:MENTIONS]
41,101,directed,1,[m:MENTIONS]
13,116,directed,1,[m:MENTIONS]
13,116,directed,1,[r:RETWEETS]
51,117,directed,1,[m:MENTIONS]
51,117,directed,1,[r:RETWEETS]
118,20,directed,1,[m:MENTIONS]
118,20,directed,1,[r:RETWEETS]
55,15,directed,1,[m:MENTIONS]
55,15,directed,1,[r:RETWEETS]
119,20,directed,1,[m:MENTIONS]
119,20,directed,1,[r:RETWEETS]
120,20,directed,1,[m:MENTIONS]
120,20,directed,1,[r:RETWEETS]
43,12,directed,1,[m:MENTIONS]
43,12,directed,1,[r:RETWEETS]
121,122,directed,1,[m:MENTIONS]
121,122,directed,1,[r:RETWEETS]
123,35,directed,1,[m:MENTIONS]
123,35,directed,1,[r:RETWEETS]
125,2,directed,1,[m:MENTIONS]
125,2,directed,1,[r:RETWEETS]
126,6,directed,1,[m:MENTIONS]
127,107,directed,1,[m:MENTIONS]
127,107,directed,1,[r:RETWEETS]
128,129,directed,1,[m:MENTIONS]
128,129,directed,1,[r:RETWEETS]
129,130,directed,1,[m:MENTIONS]
131,6,directed,1,[m:MENTIONS]
131,6,directed,1,[r:RETWEETS]
15,132,directed,1,[m:MENTIONS]
13,133,directed,1,[m:MENTIONS]
13,133,directed,1,[r:RETWEETS]
134,122,directed,1,[m:MENTIONS]
134,122,directed,1,[r:RETWEETS]
135,136,directed,1,[m:MENTIONS]
135,137,directed,1,[m:MENTIONS]
135,6,directed,1,[m:MENTIONS]
135,136,directed,1,[r:RETWEETS]
136,137,directed,1,[m:MENTIONS]
136,6,directed,1,[m:MENTIONS]
138,139,directed,1,[m:MENTIONS]
138,139,directed,1,[r:RETWEETS]
140,18,directed,1,[m:MENTIONS]
140,18,directed,1,[r:RETWEETS]
141,142,directed,1,[q:QUOTES]
143,4,directed,1,[m:MENTIONS]
143,4,directed,1,[r:RETWEETS]
140,20,directed,1,[m:MENTIONS]
140,20,directed,1,[r:RETWEETS]
144,72,directed,1,[m:MENTIONS]
144,72,directed,1,[r:RETWEETS]
145,83,directed,1,[m:MENTIONS]
145,83,directed,1,[r:RETWEETS]
15,146,directed,1,[m:MENTIONS]
147,6,directed,1,[m:MENTIONS]
147,6,directed,1,[r:RETWEETS]
148,101,directed,1,[m:MENTIONS]
148,101,directed,1,[r:RETWEETS]
149,18,directed,1,[m:MENTIONS]
149,18,directed,1,[r:RETWEETS]
